Time,Merged Station-Satellite Rainfall
1-10 Aug 1986,3.343891
11-20 Aug 1986,1.904977
21-31 Aug 1986,1.651584
1-10 Sep 1986,28.35747
11-20 Sep 1986,17.40724
21-30 Sep 1986,20.19909
1-10 Oct 1986,36.85973
11-20 Oct 1986,39.57014
21-31 Oct 1986,44.64253
1-10 Nov 1986,41.9457
11-20 Nov 1986,36.39367
21-30 Nov 1986,32.14932
1-10 Dec 1986,30.98643
11-20 Dec 1986,44.41177
21-31 Dec 1986,28.55656
1-10 Jan 1987,15.1448
11-20 Jan 1987,26.63348
21-31 Jan 1987,29.58371
1-10 Feb 1987,26.68326
11-20 Feb 1987,35.7466
21-28 Feb 1987,14.31222
1-10 Mar 1987,44.49321
11-20 Mar 1987,43.95475
21-31 Mar 1987,39.9276
1-10 Apr 1987,49.99548
11-20 Apr 1987,33.36199
21-30 Apr 1987,32.54299
1-10 May 1987,61.45249
11-20 May 1987,42.0181
21-31 May 1987,36.71946
1-10 Jun 1987,7.963801
11-20 Jun 1987,2.357466
21-30 Jun 1987,1.108597
1-10 Jul 1987,0.0
11-20 Jul 1987,0.0
21-31 Jul 1987,1.597285
1-10 Aug 1987,1.841629
11-20 Aug 1987,19.19909
21-31 Aug 1987,20.42986
1-10 Sep 1987,18.50226
11-20 Sep 1987,26.24434
21-30 Sep 1987,60.49774
1-10 Oct 1987,24.88688
11-20 Oct 1987,50.1448
21-31 Oct 1987,40.0
1-10 Nov 1987,58.90045
11-20 Nov 1987,64.01357
21-30 Nov 1987,34.98642
1-10 Dec 1987,26.72851
11-20 Dec 1987,28.80091
21-31 Dec 1987,9.429864
1-10 Jan 1988,13.54751
11-20 Jan 1988,8.090498
21-31 Jan 1988,13.45249
1-10 Feb 1988,34.8371
11-20 Feb 1988,10.31674
21-29 Feb 1988,19.79638
1-10 Mar 1988,63.48869
11-20 Mar 1988,42.48869
21-31 Mar 1988,43.2534
1-10 Apr 1988,51.17195
11-20 Apr 1988,52.181
21-30 Apr 1988,63.49774
1-10 May 1988,52.29864
11-20 May 1988,23.8552
21-31 May 1988,16.75113
1-10 Jun 1988,1.497738
11-20 Jun 1988,0.0
21-30 Jun 1988,1.461538
1-10 Jul 1988,0.0
11-20 Jul 1988,0.8552036
21-31 Jul 1988,38.46606
1-10 Aug 1988,39.8733
11-20 Aug 1988,2.579185
21-31 Aug 1988,69.95023
1-10 Sep 1988,24.21267
11-20 Sep 1988,38.08597
21-30 Sep 1988,54.38914
1-10 Oct 1988,54.02262
11-20 Oct 1988,36.05882
21-31 Oct 1988,34.0724
1-10 Nov 1988,47.41629
11-20 Nov 1988,24.57466
21-30 Nov 1988,33.06787
1-10 Dec 1988,11.1629
11-20 Dec 1988,20.52941
21-31 Dec 1988,30.43439
1-10 Jan 1989,28.47059
11-20 Jan 1989,12.38461
21-31 Jan 1989,9.719457
1-10 Feb 1989,26.08597
11-20 Feb 1989,11.24887
21-28 Feb 1989,5.058824
1-10 Mar 1989,32.69683
