crop,window_id,window_label,simulation_run,sim_cycle_rain_mm,sim_mean_tmax_c,rain_sufficient,estab_dry_spell,temp_stress
maize,25,1-10 Sep,94,432.4,22.75,1,0,0
maize,25,1-10 Sep,95,353.3,23.17,1,0,0
maize,25,1-10 Sep,96,439.0,23.04,1,0,0
maize,25,1-10 Sep,97,475.6,23.5,1,0,0
maize,25,1-10 Sep,98,409.3,22.4,1,0,0
maize,25,1-10 Sep,99,401.2,23.36,1,0,0
maize,26,11-20 Sep,0,403.4,22.89,1,0,0
maize,26,11-20 Sep,1,417.0,23.19,1,1,0
maize,26,11-20 Sep,2,341.6,22.49,1,0,0
maize,26,11-20 Sep,3,408.4,23.29,1,0,0
maize,26,11-20 Sep,4,378.7,22.84,1,0,0
maize,26,11-20 Sep,5,378.1,23.44,1,0,0
maize,26,11-20 Sep,6,369.4,22.95,1,0,0
maize,26,11-20 Sep,7,360.3,22.86,1,0,0
maize,26,11-20 Sep,8,425.6,22.5,1,0,0
maize,26,11-20 Sep,9,417.2,22.59,1,0,0
maize,26,11-20 Sep,10,363.1,23.38,1,0,0
maize,26,11-20 Sep,11,390.0,23.79,1,0,0
maize,26,11-20 Sep,12,363.4,23.22,1,0,0
maize,26,11-20 Sep,13,369.3,22.58,1,0,0
maize,26,11-20 Sep,14,354.0,22.93,1,0,0
maize,26,11-20 Sep,15,379.5,23.09,1,0,0
maize,26,11-20 Sep,16,396.0,23.33,1,0,0
maize,26,11-20 Sep,17,405.9,22.89,1,0,0
maize,26,11-20 Sep,18,418.6,22.54,1,0,0
maize,26,11-20 Sep,19,351.2,23.17,1,0,0
maize,26,11-20 Sep,20,362.5,23.26,1,0,0
maize,26,11-20 Sep,21,416.7,23.5,1,0,0
maize,26,11-20 Sep,22,382.6,23.06,1,0,0
maize,26,11-20 Sep,23,371.6,22.79,1,0,0
maize,26,11-20 Sep,24,391.3,23.03,1,0,0
maize,26,11-20 Sep,25,393.7,23.24,1,0,0
maize,26,11-20 Sep,26,302.7,23.76,0,1,0
maize,26,11-20 Sep,27,389.0,22.94,1,0,0
maize,26,11-20 Sep,28,423.9,22.69,1,0,0
maize,26,11-20 Sep,29,358.9,23.14,1,0,0
maize,26,11-20 Sep,30,377.2,23.24,1,0,0
maize,26,11-20 Sep,31,421.6,23.45,1,0,0
maize,26,11-20 Sep,32,381.7,23.2,1,0,0
maize,26,11-20 Sep,33,424.0,23.1,1,0,0
maize,26,11-20 Sep,34,381.9,23.12,1,0,0
maize,26,11-20 Sep,35,394.3,23.25,1,0,0
maize,26,11-20 Sep,36,354.9,23.31,1,0,0
maize,26,11-20 Sep,37,353.8,23.35,1,1,0
maize,26,11-20 Sep,38,374.8,23.13,1,0,0
maize,26,11-20 Sep,39,387.9,23.26,1,0,0
maize,26,11-20 Sep,40,381.0,23.52,1,0,0
maize,26,11-20 Sep,41,431.4,23.35,1,0,0
maize,26,11-20 Sep,42,376.4,23.13,1,0,0
maize,26,11-20 Sep,43,391.2,23.24,1,0,0
maize,26,11-20 Sep,44,388.6,23.11,1,0,0
maize,26,11-20 Sep,45,360.7,23.07,1,0,0
maize,26,11-20 Sep,46,386.3,23.35,1,0,0
maize,26,11-20 Sep,47,313.3,23.03,0,1,0
maize,26,11-20 Sep,48,364.9,22.81,1,0,0
maize,26,11-20 Sep,49,308.1,22.6,0,1,0
maize,26,11-20 Sep,50,349.3,23.4,1,0,0
maize,26,11-20 Sep,51,356.7,23.69,1,0,0
maize,26,11-20 Sep,52,344.3,23.86,1,0,0
maize,26,11-20 Sep,53,415.9,23.13,1,0,0
maize,26,11-20 Sep,54,419.7,23.38,1,0,0
maize,26,11-20 Sep,55,398.8,22.75,1,0,0
maize,26,11-20 Sep,56,368.2,23.2,1,0,0
maize,26,11-20 Sep,57,430.6,22.99,1,0,0
maize,26,11-20 Sep,58,333.0,23.14,1,0,0
maize,26,11-20 Sep,59,384.0,22.9,1,0,0
maize,26,11-20 Sep,60,411.0,23.04,1,0,0
maize,26,11-20 Sep,61,369.6,22.73,1,1,0
maize,26,11-20 Sep,62,375.6,22.45,1,0,0
maize,26,11-20 Sep,63,418.5,22.9,1,0,0
maize,26,11-20 Sep,64,422.8,22.72,1,0,0
maize,26,11-20 Sep,65,384.4,22.85,1,1,0
maize,26,11-20 Sep,66,337.0,23.69,1,0,0
maize,26,11-20 Sep,67,399.0,22.82,1,0,0
maize,26,11-20 Sep,68,324.6,23.4,0,0,0
maize,26,11-20 Sep,69,350.6,23.36,1,0,0
maize,26,11-20 Sep,70,394.3,22.48,1,0,0
maize,26,11-20 Sep,71,362.6,22.95,1,1,0
maize,26,11-20 Sep,72,414.6,22.89,1,0,0
maize,26,11-20 Sep,73,398.7,23.08,1,0,0
maize,26,11-20 Sep,74,449.3,23.15,1,0,0
maize,26,11-20 Sep,75,395.3,23.38,1,0,0
maize,26,11-20 Sep,76,381.5,23.29,1,0,0
maize,26,11-20 Sep,77,369.9,23.13,1,0,0
maize,26,11-20 Sep,78,379.1,22.92,1,0,0
maize,26,11-20 Sep,79,333.4,22.9,1,0,0
maize,26,11-20 Sep,80,416.7,23.57,1,0,0
maize,26,11-20 Sep,81,385.3,23.87,1,0,0
maize,26,11-20 Sep,82,405.5,23.51,1,0,0
maize,26,11-20 Sep,83,393.5,23.24,1,0,0
maize,26,11-20 Sep,84,368.4,23.4,1,0,0
maize,26,11-20 Sep,85,368.1,23.38,1,0,0
maize,26,11-20 Sep,86,393.4,23.51,1,0,0
maize,26,11-20 Sep,87,407.1,22.86,1,0,0
maize,26,11-20 Sep,88,393.7,23.68,1,0,0
maize,26,11-20 Sep,89,376.0,23.11,1,0,0
maize,26,11-20 Sep,90,363.1,22.89,1,0,0
maize,26,11-20 Sep,91,386.8,23.57,1,0,0
maize,26,11-20 Sep,92,360.4,23.49,1,0,0
maize,26,11-20 Sep,93,337.4,23.1,1,0,0
maize,26,11-20 Sep,94,372.3,22.83,1,1,0
maize,26,11-20 Sep,95,430.5,23.28,1,0,0
maize,26,11-20 Sep,96,379.1,23.17,1,0,0
maize,26,11-20 Sep,97,403.4,22.77,1,0,0
maize,26,11-20 Sep,98,393.0,23.08,1,0,0
maize,26,11-20 Sep,99,366.0,22.96,1,0,0
maize,27,21-30 Sep,0,341.6,23.0,1,0,0
maize,27,21-30 Sep,1,364.9,22.69,1,0,0
maize,27,21-30 Sep,2,360.9,23.17,1,0,0
maize,27,21-30 Sep,3,369.0,22.92,1,0,0
maize,27,21-30 Sep,4,375.0,23.6,1,0,0
maize,27,21-30 Sep,5,375.3,23.06,1,0,0
maize,27,21-30 Sep,6,352.5,23.35,1,0,0
maize,27,21-30 Sep,7,393.0,23.14,1,0,0
maize,27,21-30 Sep,8,396.4,22.55,1,0,0
maize,27,21-30 Sep,9,373.2,23.22,1,0,0
maize,27,21-30 Sep,10,363.8,23.42,1,0,0
maize,27,21-30 Sep,11,374.7,23.24,1,0,0
maize,27,21-30 Sep,12,360.3,22.89,1,0,0
maize,27,21-30 Sep,13,403.1,23.44,1,0,0
maize,27,21-30 Sep,14,317.5,23.21,0,0,0
maize,27,21-30 Sep,15,390.6,22.7,1,0,0
maize,27,21-30 Sep,16,346.3,23.23,1,0,0
maize,27,21-30 Sep,17,366.5,23.83,1,0,0
maize,27,21-30 Sep,18,407.9,23.53,1,0,0
maize,27,21-30 Sep,19,347.0,23.46,1,0,0
maize,27,21-30 Sep,20,388.5,23.55,1,0,0
maize,27,21-30 Sep,21,359.6,23.06,1,0,0
maize,27,21-30 Sep,22,352.5,23.18,1,0,0
maize,27,21-30 Sep,23,352.9,23.19,1,0,0
maize,27,21-30 Sep,24,354.2,22.86,1,0,0
maize,27,21-30 Sep,25,392.7,23.32,1,0,0
maize,27,21-30 Sep,26,302.5,22.74,0,1,0
maize,27,21-30 Sep,27,311.8,22.62,0,0,0
maize,27,21-30 Sep,28,359.0,23.47,1,0,0
maize,27,21-30 Sep,29,403.6,23.43,1,0,0
maize,27,21-30 Sep,30,447.5,23.55,1,0,0
maize,27,21-30 Sep,31,367.4,22.66,1,0,0
maize,27,21-30 Sep,32,405.6,23.34,1,0,0
maize,27,21-30 Sep,33,347.9,23.74,1,0,0
maize,27,21-30 Sep,34,387.3,23.26,1,0,0
maize,27,21-30 Sep,35,340.9,23.07,1,0,0
