date,year,month,dekad_of_year,abs_dekad,rainfall_mm,tmax_c,tmin_c,is_wet_dekad,season,location
1981-12-11,1981,12,35,754,28.61086,22.96078,13.53248,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1981-12-21,1981,12,36,755,22.15385,23.87183,12.74855,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-01-01,1982,1,1,756,30.00905,23.3934,12.61579,1,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-01-11,1982,1,2,757,20.85068,23.6793,13.08313,1,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-01-21,1982,1,3,758,16.62896,24.64416,12.94467,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-02-01,1982,2,4,759,9.484163,24.18019,13.70157,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-02-11,1982,2,5,760,6.828054,22.46331,12.68556,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-02-21,1982,2,6,761,7.719457,23.89309,13.01543,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-03-01,1982,3,7,762,22.35747,22.02828,12.825,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-03-11,1982,3,8,763,30.0724,22.58408,12.84143,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-03-21,1982,3,9,764,39.83258,23.23701,12.86763,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-04-01,1982,4,10,765,45.59276,21.9429,13.35358,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
